City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Riyadh,SA,24.69,46.72,55.54,42,0,9.73,clear sky
233,Kisanga,TZ,-7.44,37.7,72.88,90,98,2.17,overcast clouds
234,Albi,FR,43.93,2.15,40.46,81,0,2.59,clear sky
235,Wanning,CN,18.8,110.4,76.37,77,96,7.09,overcast clouds
236,Barabai,ID,-2.58,115.38,84.34,73,97,2.71,light rain
237,Taltal,CL,-25.4,-70.48,66.36,77,0,3.96,clear sky
238,Brae,GB,60.4,-1.35,42.71,74,77,33.4,broken clouds
239,Sao Joaquim,BR,-28.29,-49.93,61.83,83,61,2.37,light rain
240,Hithadhoo,MV,-0.6,73.08,81.52,66,99,18.68,overcast clouds
241,Khani,GE,41.96,42.96,33.37,84,100,5.86,overcast clouds
242,Bethel,US,41.37,-73.41,31.57,63,0,0.0,clear sky
243,Airai,TL,-8.93,125.41,74.32,56,100,5.66,overcast clouds
244,Belovo,RU,54.42,86.3,2.01,92,100,5.75,overcast clouds
245,Shirokiy,RU,49.76,129.52,2.73,89,93,5.95,overcast clouds
246,Domoni,KM,-12.26,44.53,77.47,85,100,4.16,light rain
247,Vieques,PR,18.43,-65.83,77.04,69,40,3.44,scattered clouds
248,Yeppoon,AU,-23.13,150.73,87.58,62,81,12.44,broken clouds
249,Guadalajara,MX,20.67,-103.33,64.98,51,40,1.01,scattered clouds
250,Taksimo,RU,56.34,114.88,-9.9,91,44,0.29,scattered clouds
251,Vilyuysk,RU,63.76,121.62,-11.58,97,86,6.67,overcast clouds
252,Mercedes,AR,-34.65,-59.43,76.89,96,32,5.99,scattered clouds
253,Ponta Delgada,PT,37.73,-25.67,58.5,94,75,4.61,broken clouds
254,Moctezuma,MX,29.8,-109.67,56.82,38,28,3.78,scattered clouds
255,Bouar,CF,5.93,15.6,66.33,20,100,6.8,overcast clouds
256,Herat,AF,34.5,62.0,34.68,38,0,2.8,clear sky
257,Suez,EG,29.97,32.53,48.74,52,7,6.24,clear sky
258,Lasa,IT,46.62,10.7,44.06,66,0,6.4,clear sky
259,Ingham,US,42.6,-84.38,16.18,74,100,9.22,overcast clouds
260,East London,ZA,-33.02,27.91,71.56,85,96,3.87,light rain
261,Lafia,NG,8.48,8.52,71.24,19,7,4.41,clear sky
262,Nome,US,64.5,-165.41,-9.33,77,20,0.0,few clouds
263,Tiksi,RU,71.69,128.87,-2.47,95,100,13.27,overcast clouds
264,Bafoulabe,ML,13.81,-10.83,76.19,11,100,4.47,overcast clouds
265,Bud,US,39.45,-86.18,19.49,66,0,9.69,clear sky
266,Mwense,ZM,-10.38,28.7,64.53,98,100,2.64,overcast clouds
267,Black River,JM,18.03,-77.85,78.8,85,34,3.53,scattered clouds
268,Nuuk,GL,64.18,-51.72,21.81,79,100,9.22,light snow
269,Struga,MK,41.18,20.68,18.95,69,6,4.83,clear sky
270,Ariquemes,BR,-9.91,-63.04,73.02,96,100,2.68,heavy intensity rain
271,Kommunisticheskiy,RU,61.68,64.48,6.19,93,100,5.75,overcast clouds
272,Waipawa,NZ,-41.41,175.52,70.43,52,63,7.99,broken clouds
273,Mehran,IR,33.12,46.16,47.68,41,0,4.36,clear sky
274,Chara,RU,56.91,118.26,-10.68,93,54,0.94,broken clouds
275,Isangel,VU,-19.55,169.27,85.55,71,17,4.68,light rain
276,Pacific Grove,US,36.62,-121.92,56.28,88,20,1.01,few clouds
277,Tobias Barreto,BR,-11.18,-38.0,73.29,96,73,8.21,broken clouds
278,Rock Sound,BS,24.9,-76.2,73.29,70,33,5.12,scattered clouds
279,Aksay,RU,47.26,39.87,25.25,99,99,4.0,overcast clouds
280,Half Moon Bay,US,37.46,-122.43,55.29,85,0,1.01,clear sky
281,Narsaq,GL,60.92,-46.05,26.82,95,100,9.42,snow
282,Praia,CV,14.92,-23.51,73.94,64,0,17.27,clear sky
283,Pasir Gudang,MY,1.46,103.88,84.36,70,40,3.44,scattered clouds
284,Kabare,CD,-2.47,28.82,59.23,91,81,1.97,broken clouds
285,Chisec,GT,15.82,-90.28,72.54,87,0,2.33,clear sky
286,Porto-Vecchio,FR,41.59,9.28,45.86,100,0,4.61,clear sky
287,Tucurui,BR,-3.77,-49.67,73.45,93,99,3.31,overcast clouds
288,Saint-Raymond,CA,45.47,-73.61,8.92,81,20,3.44,few clouds
289,Belaya Gora,RU,68.53,146.42,-35.41,100,90,3.78,overcast clouds
290,Guerrero Negro,MX,27.98,-114.06,60.67,68,100,8.63,overcast clouds
291,Rawson,AR,-43.3,-65.1,62.08,62,1,13.78,clear sky
292,Magrath,CA,49.42,-112.87,41.14,48,78,19.57,broken clouds
293,Sur,OM,22.57,59.53,68.95,63,5,11.7,clear sky
294,Jinchang,CN,38.5,102.17,23.09,47,98,3.06,overcast clouds
295,Davila,PH,18.47,120.58,85.98,66,100,16.46,overcast clouds
296,Limbang,MY,4.75,115.0,77.31,81,92,2.17,overcast clouds
297,Bilibino,RU,68.05,166.44,-38.52,96,43,3.15,scattered clouds
298,Soyo,AO,-6.13,12.37,77.22,80,100,4.79,overcast clouds
299,Niquelandia,BR,-14.47,-48.46,69.69,92,51,1.21,broken clouds
300,Maceio,BR,-9.67,-35.74,80.04,89,40,2.3,scattered clouds
301,Cockburn Town,TC,21.46,-71.14,76.96,73,0,8.99,clear sky
302,Mabamba,TZ,-3.6,30.5,60.13,94,98,1.3,overcast clouds
303,Banff,CA,51.18,-115.57,36.63,54,96,10.36,overcast clouds
304,Ambilobe,MG,-13.2,49.05,72.12,93,100,1.86,overcast clouds
305,Nanortalik,GL,60.14,-45.24,26.8,96,100,4.41,snow
306,Zlitan,LY,32.47,14.57,51.58,55,98,8.81,overcast clouds
307,Nabannagan,PH,18.07,121.53,76.19,88,57,3.96,broken clouds
308,Eskilstuna,SE,59.37,16.51,34.03,89,100,7.0,snow
309,Malazgirt,TR,39.14,42.54,6.87,96,74,2.91,broken clouds
310,Muros,ES,42.78,-9.06,39.7,93,2,7.34,clear sky
311,Atar,MR,20.52,-13.05,66.0,42,28,8.55,scattered clouds
312,Gander,CA,48.97,-54.59,19.53,85,75,15.01,broken clouds
313,Sampit,ID,-2.53,112.95,77.72,91,100,1.34,overcast clouds
314,Kuah,MY,6.33,99.84,87.78,51,20,8.05,few clouds
315,Constitucion,CL,-35.33,-72.42,56.1,92,5,7.23,clear sky
316,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,10.99,57,0,8.95,clear sky
317,Kananga,CD,-5.9,22.42,68.95,93,100,1.34,overcast clouds
318,Goderich,CA,43.75,-81.72,16.92,85,100,10.36,overcast clouds
319,Port Lincoln,AU,-34.73,135.87,74.89,77,85,10.8,overcast clouds
320,Weligama,LK,5.97,80.42,76.71,73,79,3.0,broken clouds
321,Hami,CN,42.8,93.45,23.65,45,7,4.5,clear sky
322,Miles City,US,46.41,-105.84,24.51,86,0,16.11,clear sky
323,Torit,SS,4.41,32.57,77.25,34,16,1.16,few clouds
324,Charlestown,AU,-32.95,151.67,79.56,65,94,4.0,overcast clouds
325,Makakilo City,US,21.35,-158.09,79.12,57,75,9.22,broken clouds
326,Assiniboia,CA,49.63,-105.98,19.31,86,99,17.27,overcast clouds
327,Astana,KZ,51.18,71.45,3.15,78,0,11.18,clear sky
328,Manono,CD,-7.3,27.42,66.88,99,98,1.39,light rain
329,West Lorne,CA,42.6,-81.6,16.83,78,100,6.62,overcast clouds
330,Dagana,MR,16.52,-15.51,73.27,15,92,10.29,overcast clouds
331,Teguise,ES,29.06,-13.56,53.82,82,0,5.75,clear sky
332,Lorengau,PG,-2.02,147.27,85.12,70,100,7.11,overcast clouds
333,Saldanha,ZA,-33.01,17.94,60.85,92,0,17.36,clear sky
334,Beringovskiy,RU,63.05,179.32,-20.47,92,57,1.39,broken clouds
335,Mahajanga,MG,-15.72,46.32,77.02,94,40,3.44,light rain
336,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,72.99,98,100,2.08,heavy intensity rain
337,Beyla,GN,8.68,-8.63,66.87,21,2,4.25,clear sky
338,Georgiyevka,KZ,43.04,74.71,28.44,93,75,2.24,mist
339,Yar-Sale,RU,66.83,70.83,13.08,94,100,17.58,light snow
340,Ostrovnoy,RU,68.05,39.51,16.9,86,23,18.37,few clouds
341,Ternate,ID,0.8,127.4,85.77,67,65,3.47,broken clouds
342,Komsomolskiy,UZ,40.43,71.72,27.82,80,75,4.61,mist
343,Tarko-Sale,RU,64.92,77.78,-5.96,98,89,14.92,overcast clouds
344,Honiara,SB,-9.43,159.95,83.5,79,99,8.81,overcast clouds
345,Arlit,NE,18.74,7.39,55.67,22,58,6.53,broken clouds
346,Qaqortoq,GL,60.72,-46.03,27.1,93,100,9.57,light snow
347,Elayirampannai,IN,9.27,77.83,79.25,69,100,5.26,overcast clouds
348,Portland,US,45.52,-122.68,43.38,73,20,1.01,few clouds
349,Husavik,IS,66.04,-17.34,30.11,89,97,15.03,light snow
350,Cabedelo,BR,-6.98,-34.83,79.47,75,100,12.01,light rain
351,Talnakh,RU,69.49,88.4,1.2,94,94,13.56,overcast clouds
352,Sao Filipe,CV,14.9,-24.5,75.72,59,2,10.49,clear sky
353,Ust-Nera,RU,64.57,143.2,-17.66,97,100,1.52,overcast clouds
354,Jishou,CN,28.32,109.72,36.48,99,100,1.74,overcast clouds
355,Port Antonio,JM,18.18,-76.46,78.71,83,4,6.4,clear sky
356,Sola,VU,-13.88,167.55,81.82,80,98,15.08,overcast clouds
357,Joao Pinheiro,BR,-17.74,-46.17,68.74,84,70,3.18,broken clouds
358,Maumere,ID,-8.62,122.21,84.2,75,71,12.68,broken clouds
359,Ugoofaaru,MV,5.67,73.0,80.13,65,93,10.42,overcast clouds
360,Ekangala,ZA,-25.7,28.75,61.0,95,99,11.9,overcast clouds
361,Weinan,CN,34.5,109.51,35.29,76,100,7.63,light snow
